Timestamp,Year,Month,Day,Hour,PM2.5
14-04-2019 01:00,2019,4,14,1,42.03
14-04-2019 02:00,2019,4,14,2,43.58
14-04-2019 03:00,2019,4,14,3,45.15
14-04-2019 04:00,2019,4,14,4,45.32
14-04-2019 05:00,2019,4,14,5,46.87
14-04-2019 06:00,2019,4,14,6,44.71
14-04-2019 07:00,2019,4,14,7,44.4
14-04-2019 08:00,2019,4,14,8,35.91
14-04-2019 09:00,2019,4,14,9,35.76
14-04-2019 10:00,2019,4,14,10,34.79
14-04-2019 11:00,2019,4,14,11,35.92
14-04-2019 12:00,2019,4,14,12,34.85
14-04-2019 13:00,2019,4,14,13,34.38
14-04-2019 14:00,2019,4,14,14,37.2
14-04-2019 15:00,2019,4,14,15,40.58
14-04-2019 16:00,2019,4,14,16,43.64
14-04-2019 17:00,2019,4,14,17,45.75
14-04-2019 18:00,2019,4,14,18,46.8
14-04-2019 19:00,2019,4,14,19,48.49
14-04-2019 20:00,2019,4,14,20,47.73
14-04-2019 21:00,2019,4,14,21,42.02
14-04-2019 22:00,2019,4,14,22,44.21
14-04-2019 23:00,2019,4,14,23,42.5
15-04-2019 00:00,2019,4,15,0,41.59
15-04-2019 01:00,2019,4,15,1,43.26
15-04-2019 02:00,2019,4,15,2,44.2
15-04-2019 03:00,2019,4,15,3,44.38
15-04-2019 04:00,2019,4,15,4,45.89
15-04-2019 05:00,2019,4,15,5,45.57
15-04-2019 06:00,2019,4,15,6,41.86
15-04-2019 07:00,2019,4,15,7,42.12
15-04-2019 08:00,2019,4,15,8,40.83
15-04-2019 09:00,2019,4,15,9,37.83
15-04-2019 10:00,2019,4,15,10,37.88
15-04-2019 11:00,2019,4,15,11,37.35
15-04-2019 12:00,2019,4,15,12,37.5
15-04-2019 14:00,2019,4,15,14,40.63
15-04-2019 15:00,2019,4,15,15,44.73
15-04-2019 16:00,2019,4,15,16,47.83
15-04-2019 17:00,2019,4,15,17,37.17
15-04-2019 18:00,2019,4,15,18,36.66
15-04-2019 19:00,2019,4,15,19,38.32
15-04-2019 20:00,2019,4,15,20,39.42
15-04-2019 21:00,2019,4,15,21,51.99
15-04-2019 22:00,2019,4,15,22,48.44
15-04-2019 23:00,2019,4,15,23,50.57
16-04-2019 00:00,2019,4,16,0,48.02
16-04-2019 01:00,2019,4,16,1,55.77
16-04-2019 02:00,2019,4,16,2,72.59
16-04-2019 03:00,2019,4,16,3,74.12
16-04-2019 04:00,2019,4,16,4,59.85
16-04-2019 05:00,2019,4,16,5,58.84
16-04-2019 06:00,2019,4,16,6,48.62
16-04-2019 07:00,2019,4,16,7,49
16-04-2019 08:00,2019,4,16,8,52.93
16-04-2019 09:00,2019,4,16,9,52.51
16-04-2019 10:00,2019,4,16,10,47.79
16-04-2019 11:00,2019,4,16,11,47.78
16-04-2019 12:00,2019,4,16,12,48.45
16-04-2019 13:00,2019,4,16,13,44.01
16-04-2019 14:00,2019,4,16,14,43.7
16-04-2019 15:00,2019,4,16,15,41.16
16-04-2019 16:00,2019,4,16,16,40.75
16-04-2019 17:00,2019,4,16,17,38.71
16-04-2019 18:00,2019,4,16,18,37.64
16-04-2019 19:00,2019,4,16,19,38.15
16-04-2019 20:00,2019,4,16,20,41.95
16-04-2019 21:00,2019,4,16,21,41.4
16-04-2019 22:00,2019,4,16,22,41.53
16-04-2019 23:00,2019,4,16,23,42.45
17-04-2019 00:00,2019,4,17,0,36.47
17-04-2019 01:00,2019,4,17,1,38.54
17-04-2019 02:00,2019,4,17,2,33.38
17-04-2019 03:00,2019,4,17,3,31.55
17-04-2019 04:00,2019,4,17,4,32.9
17-04-2019 05:00,2019,4,17,5,31.1
17-04-2019 06:00,2019,4,17,6,25.7
17-04-2019 07:00,2019,4,17,7,32.09
17-04-2019 08:00,2019,4,17,8,37.52
17-04-2019 09:00,2019,4,17,9,39.09
17-04-2019 10:00,2019,4,17,10,36.73
17-04-2019 11:00,2019,4,17,11,33.36
17-04-2019 12:00,2019,4,17,12,33.35
17-04-2019 13:00,2019,4,17,13,33.22
17-04-2019 14:00,2019,4,17,14,31.84
17-04-2019 15:00,2019,4,17,15,31.76
17-04-2019 16:00,2019,4,17,16,31.74
17-04-2019 17:00,2019,4,17,17,29.36
17-04-2019 18:00,2019,4,17,18,30.57
17-04-2019 19:00,2019,4,17,19,31.95
17-04-2019 20:00,2019,4,17,20,34.64
17-04-2019 21:00,2019,4,17,21,34.04
17-04-2019 22:00,2019,4,17,22,39.82
17-04-2019 23:00,2019,4,17,23,38.94
18-04-2019 00:00,2019,4,18,0,40.25
18-04-2019 01:00,2019,4,18,1,37.52
18-04-2019 02:00,2019,4,18,2,37.7
18-04-2019 03:00,2019,4,18,3,31.84
18-04-2019 04:00,2019,4,18,4,31.07
18-04-2019 05:00,2019,4,18,5,27.16
18-04-2019 06:00,2019,4,18,6,29.78
18-04-2019 07:00,2019,4,18,7,34.48
18-04-2019 08:00,2019,4,18,8,39.51
18-04-2019 09:00,2019,4,18,9,40.61
18-04-2019 10:00,2019,4,18,10,38.3
18-04-2019 11:00,2019,4,18,11,35.58
18-04-2019 12:00,2019,4,18,12,32.49
18-04-2019 13:00,2019,4,18,13,30.78
18-04-2019 14:00,2019,4,18,14,30.6
18-04-2019 15:00,2019,4,18,15,31.33
18-04-2019 16:00,2019,4,18,16,29.81
18-04-2019 17:00,2019,4,18,17,31.83
18-04-2019 18:00,2019,4,18,18,27.88
18-04-2019 19:00,2019,4,18,19,27.84
18-04-2019 20:00,2019,4,18,20,29.16
18-04-2019 21:00,2019,4,18,21,34.74
18-04-2019 22:00,2019,4,18,22,35.76
18-04-2019 23:00,2019,4,18,23,37.11
19-04-2019 00:00,2019,4,19,0,41.24
19-04-2019 01:00,2019,4,19,1,39.89
19-04-2019 02:00,2019,4,19,2,37.26
19-04-2019 03:00,2019,4,19,3,37.75
19-04-2019 04:00,2019,4,19,4,40.37
19-04-2019 05:00,2019,4,19,5,38.61
19-04-2019 06:00,2019,4,19,6,38.61
19-04-2019 07:00,2019,4,19,7,38.55
19-04-2019 08:00,2019,4,19,8,41.76
19-04-2019 09:00,2019,4,19,9,42.47
19-04-2019 10:00,2019,4,19,10,40.44
19-04-2019 11:00,2019,4,19,11,39.94
19-04-2019 12:00,2019,4,19,12,39.31
19-04-2019 13:00,2019,4,19,13,30.45
19-04-2019 14:00,2019,4,19,14,26.8
19-04-2019 15:00,2019,4,19,15,26.73
19-04-2019 16:00,2019,4,19,16,27.15
19-04-2019 17:00,2019,4,19,17,27.68
19-04-2019 18:00,2019,4,19,18,26.83
19-04-2019 19:00,2019,4,19,19,26.85
19-04-2019 20:00,2019,4,19,20,26.92
19-04-2019 21:00,2019,4,19,21,26.25
19-04-2019 22:00,2019,4,19,22,26.95
19-04-2019 23:00,2019,4,19,23,38.09
20-04-2019 00:00,2019,4,20,0,37.3
20-04-2019 01:00,2019,4,20,1,37.55
20-04-2019 02:00,2019,4,20,2,37.68
20-04-2019 03:00,2019,4,20,3,39.34
20-04-2019 04:00,2019,4,20,4,37.04
20-04-2019 05:00,2019,4,20,5,37.53
20-04-2019 06:00,2019,4,20,6,40.37
20-04-2019 07:00,2019,4,20,7,41.3
20-04-2019 08:00,2019,4,20,8,44.62
20-04-2019 09:00,2019,4,20,9,42.03
20-04-2019 10:00,2019,4,20,10,43.32
20-04-2019 11:00,2019,4,20,11,44.38
20-04-2019 12:00,2019,4,20,12,44.19
20-04-2019 13:00,2019,4,20,13,45.83
20-04-2019 14:00,2019,4,20,14,44.08
20-04-2019 15:00,2019,4,20,15,24.94
20-04-2019 16:00,2019,4,20,16,28.53
20-04-2019 17:00,2019,4,20,17,29.27
20-04-2019 18:00,2019,4,20,18,28.9
20-04-2019 19:00,2019,4,20,19,28.8
20-04-2019 20:00,2019,4,20,20,29.58
20-04-2019 21:00,2019,4,20,21,36.71
20-04-2019 22:00,2019,4,20,22,40.46
20-04-2019 23:00,2019,4,20,23,42.44
21-04-2019 00:00,2019,4,21,0,42.72
21-04-2019 01:00,2019,4,21,1,47.88
21-04-2019 02:00,2019,4,21,2,47.35
21-04-2019 03:00,2019,4,21,3,46.12
21-04-2019 04:00,2019,4,21,4,43.67
21-04-2019 05:00,2019,4,21,5,44.11
21-04-2019 06:00,2019,4,21,6,45.21
21-04-2019 07:00,2019,4,21,7,47.14
21-04-2019 08:00,2019,4,21,8,53.73
21-04-2019 09:00,2019,4,21,9,52.76
21-04-2019 10:00,2019,4,21,10,52.7
21-04-2019 11:00,2019,4,21,11,45.21
21-04-2019 12:00,2019,4,21,12,38.01
21-04-2019 13:00,2019,4,21,13,34.48
21-04-2019 14:00,2019,4,21,14,32.94
21-04-2019 15:00,2019,4,21,15,32.03
21-04-2019 16:00,2019,4,21,16,29.51
21-04-2019 17:00,2019,4,21,17,28.83
21-04-2019 18:00,2019,4,21,18,26.9
21-04-2019 19:00,2019,4,21,19,28.8
21-04-2019 20:00,2019,4,21,20,31.78
21-04-2019 21:00,2019,4,21,21,31.37
21-04-2019 22:00,2019,4,21,22,38.89
21-04-2019 23:00,2019,4,21,23,47.09
22-04-2019 00:00,2019,4,22,0,48.49
22-04-2019 01:00,2019,4,22,1,48.05
22-04-2019 02:00,2019,4,22,2,46.75
22-04-2019 03:00,2019,4,22,3,44.04
22-04-2019 04:00,2019,4,22,4,45.35
22-04-2019 05:00,2019,4,22,5,46.79
22-04-2019 06:00,2019,4,22,6,46.75
22-04-2019 07:00,2019,4,22,7,48.72
22-04-2019 08:00,2019,4,22,8,46.31
22-04-2019 09:00,2019,4,22,9,51.85
22-04-2019 10:00,2019,4,22,10,51.38
22-04-2019 11:00,2019,4,22,11,45.68
22-04-2019 12:00,2019,4,22,12,44.94
22-04-2019 13:00,2019,4,22,13,48.12
22-04-2019 14:00,2019,4,22,14,42.88
22-04-2019 15:00,2019,4,22,15,59.38
22-04-2019 16:00,2019,4,22,16,30.99
22-04-2019 17:00,2019,4,22,17,31.29
22-04-2019 18:00,2019,4,22,18,30.65
22-04-2019 19:00,2019,4,22,19,30.78
22-04-2019 20:00,2019,4,22,20,43.42
22-04-2019 21:00,2019,4,22,21,48.46
22-04-2019 22:00,2019,4,22,22,46.48
22-04-2019 23:00,2019,4,22,23,47.93
23-04-2019 00:00,2019,4,23,0,49.46
